Id;city;shopName;shopId;shopPower;mainRegionName;mainCategoryName;tasteScore;environmentScore;serviceScore;avgPrice;shopAddress;shopUrl;defaultPic;phoneNo
8956;上海;新发展亚太JW万豪酒店·福苑咖啡厅;3881971;50;长风公园/华师大;自助餐;90;92;91;223;大渡河路158号新发展亚太JW万豪酒店1楼;http://dp01.ds.quancube.cn/shop/3881971;https://qcloud.dpfile.com/pc/OkweIRCIqas7aaKI6F2aBznvPGK4l9NKlYokTTEmXqQ6DWFzufSa8BzPrJw_ct_TpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;22156230
8957;上海;The Habit Burger Grill 哈比特汉堡;92642691;50;新天地;西式简餐;91;90;90;64;马当路388号复兴soho一层D109-D110;http://dp01.ds.quancube.cn/shop/92642691;https://img.meituan.net/msmerchant/c1ca1d935ea617ac97884cf9777a07591149780.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63085517
8958;上海;何洪记;91015781;45;南京西路;粤菜馆;84;84;84;115;石门一路288号兴业太古汇L324;http://dp01.ds.quancube.cn/shop/91015781;https://img.meituan.net/msmerchant/ed9d48db85e611a7b0622102c85deff5237060.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52188019
8959;上海;宝燕海货工场·港式海鲜加工;76836701;45;大宁地区;海鲜;89;84;81;268;灵石路716号宝燕商城4楼;http://dp01.ds.quancube.cn/shop/76836701;https://img.meituan.net/msmerchant/50e49f99643a7706f69f93bcc0293e811465954.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;66551717
8960;上海;牛NEW寿喜烧;97141937;50;五角场/大学区;自助餐;90;90;88;131;淞沪路8号百联又一城八层;http://dp01.ds.quancube.cn/shop/97141937;https://img.meituan.net/msmerchant/8405512b3d30a606def0b158860f552441651.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;35309725
8961;上海;桂满陇-枕水江南;120161294;45;人民广场;浙菜;86;91;87;85;南京东路829号上海世茂广场L5层东区513商铺;http://dp01.ds.quancube.cn/shop/120161294;https://img.meituan.net/msmerchant/36f040e0a921a8baaf153e262087af84164921.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53520510
8962;上海;谷沙屋面铺;6237221;45;西藏北路/中兴路;面馆;85;82;83;23;虬江路1011号格林联盟酒店旁;http://dp01.ds.quancube.cn/shop/6237221;https://qcloud.dpfile.com/pc/Ke3_3pj24A538T9ODdZbyxsSGXbRsDKMRSp_4YOLeD0Xl9KJFrfaUqxtHoNrHabHpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;56632425
8963;上海;L'éclair de Génie法国闪电泡芙;124573705;45;淮海路;甜品;83;85;86;105;淮海中路333号新天地plaza三楼10A-10B空中花园;http://dp01.ds.quancube.cn/shop/124573705;https://img.meituan.net/msmerchant/7cb178f9c399e3ed43d99049bb586f6b4469531.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63391179
8964;上海;曼哈顿自助海鲜;110785826;50;虹口足球场;自助餐;90;90;90;155;西江湾路388号龙之梦购物中心A座4层;http://dp01.ds.quancube.cn/shop/110785826;https://img.meituan.net/msmerchant/de988d452388225d9fd721cf6574a93e1463540.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;62987999
8965;上海;御宝轩;6145588;45;外滩;粤菜馆;90;91;87;366;北京东路99号益丰?外滩源4层;http://dp01.ds.quancube.cn/shop/6145588;https://qcloud.dpfile.com/pc/RUMzq1ZvuHJzJfnLtAvX839CEcJ1SK_Lk9L4g1bA4qYewNi_BTd6YAiKe8CUW2fipNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;53081188
8966;上海;新顺记;101242502;45;徐家汇;粤菜;87;86;83;198;裕德路111号南洋1931商场3楼;http://dp01.ds.quancube.cn/shop/101242502;https://img.meituan.net/msmerchant/2719cf4dbacc8690b87bb8d7ac692f792134896.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;61254877
8967;上海;南门涮肉;98781362;50;上南地区;老北京火锅;90;89;89;131;世博大道1368号世博源1区LM05;http://dp01.ds.quancube.cn/shop/98781362;https://p0.meituan.net/bbia/c45b07430fb861b9062053aca1acb995358725.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;20237770
8968;上海;咬金·唐风卤香酒馆;120092457;50;世纪大道;创意菜;84;92;91;144;东方路796号96广场一层143-145单元;http://dp01.ds.quancube.cn/shop/120092457;https://img.meituan.net/msmerchant/218ca8d238daf248ed04ced8c9ef60c41114556.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;61623277
