Id,city,shopName,shopId,shopPower,mainRegionName,mainCategoryName,tasteScore,environmentScore,serviceScore,avgPrice,shopAddress
11436,承德,老渔翁笨锅炖,57229924,45,双塔山镇,火锅,86,85,85,33,双塔山镇新新家园新园路原加州牛肉面大王
11437,承德,荷和日本料理,66097137,35,翠桥路,日本菜,69,69,69,80,天山水榭花都SY座底商西103号
11439,承德,热河食府,58574209,40,南营子大街,其他中餐,83,84,83,19,南营子大街承德宾馆4层
11440,承德,福慧斋素食,37953527,45,避暑山庄,其他中餐,88,89,89,62,北兴隆街东区24号万树园小区底商
11441,承德,比格比萨,6162553,35,新华路,西餐,75,76,75,60,华成酒店二层
11442,承德,东坡饭庄,110783970,35,承德站,快餐简餐,75,75,75,76,车站路288号
11443,承德,庆元亨大酒楼,2500504,40,避暑山庄,其他中餐,85,86,76,114,避暑山庄两宫门商业街2号
11444,承德,星巴克,69604145,40,新华路,咖啡厅,78,77,77,37,新华路北1号双百购物广场1楼
11445,承德,东来顺饭庄,23643946,40,南营子大街,火锅,78,78,77,92,金龙购物广场A、B座新天地底商
11446,承德,味蜀吾老火锅,102121899,45,大学城,四川火锅,86,87,85,88,御龙瀚府中城左岸2楼直行20米处
11447,承德,桃源村铁锅炖鱼,95869978,40,翠桥路,炖菜,78,79,78,54,翠桥路体育场底商
11448,承德,辣小二脆毛肚火锅,98059789,35,避暑山庄,重庆火锅,72,72,72,94,武烈路金龙购物广场A座5楼
11449,承德,田家粮仓,43776019,35,大学城,其他美食,74,74,73,65,大学城种子路文轩名苑5号楼底商
11450,承德,一品香二楼炭烤牛肉,23182860,35,西大街,融合烤肉,76,76,76,44,西大街安定里五监狱底商
11451,承德,超兴农家院,5283308,40,滦平县其他,农家菜,78,77,78,61,金山城长城景区附近
11452,承德,新顺和小馆,23631045,40,迎宾路,其他中餐,78,80,78,65,世纪城2期格林豪泰旁
11453,承德,必胜客,16974200,35,翠桥路,快餐简餐,71,71,71,88,"南营子大街38号裘翠楼一,二层"
